Ace of Wands	Inspiration, power, creation, beginnings, potential	https://placekitten.com/g/200/300
Two of Wands	Future planning, progress, decisions, discovery	https://placekitten.com/g/200/300
Three of Wands	Preparation, foresight, enterprise, expansion	https://placekitten.com/g/200/300
Four of Wands	Celebration, harmony, marriage, home, community	https://placekitten.com/g/200/300
Five of Wands	Disagreement, competition, strife, tension, conflict	https://placekitten.com/g/200/300
Six of Wands	Public recognition, victory, progress, self-confidence	https://placekitten.com/g/200/300
Seven of Wands	Challenge, competition, perseverance	https://placekitten.com/g/200/300
Eight of Wands	Speed, action, air travel, movement, swift change	https://placekitten.com/g/200/300
Nine of Wands	Courage, persistence, test of faith, resilience	https://placekitten.com/g/200/300
Ten of Wands	Burden, responsibility, hard work, stress, achievement	https://placekitten.com/g/200/300
Page of Wands	Enthusiasm, exploration, discovery, free spirit	https://placekitten.com/g/200/300
Knight of Wands	Energy, passion, lust, action, adventure, impulsiveness	https://placekitten.com/g/200/300
Queen of Wands	Exuberance, warmth, vibrancy, determination	https://placekitten.com/g/200/300
King of Wands	Natural-born leader, vision, entrepreneur, honour	https://placekitten.com/g/200/300
Ace of Swords	Raw power, victory, break-throughs, mental clarity	https://placekitten.com/g/200/300
Two of Swords	Indecision, choices, truce, stalemate, blocked emotions	https://placekitten.com/g/200/300
Three of Swords	Painful separation, sorrow heartbreak, grief, rejection	https://placekitten.com/g/200/300
Four of Swords	Contemplation, recuperation, passivity, relaxation, rest	https://placekitten.com/g/200/300
Five of Swords	Conflict, tension, loss, defeat, win at all costs, betrayal	https://placekitten.com/g/200/300
Six of Swords	Regretful but necessary transition, rite of passage	https://placekitten.com/g/200/300
Seven of Swords	Betrayal, deception, getting away with something, stealth	https://placekitten.com/g/200/300
Eight of Swords	Isolation, self-imposed restriction, imprisonment	https://placekitten.com/g/200/300
Nine of Swords	Depression, nightmares, intense anxiety, despair	https://placekitten.com/g/200/300
Ten of Swords	Back-stabbed, defeat, crisis, betrayal, endings, loss	https://placekitten.com/g/200/300
Page of Swords	Talkative, curious, mentally restless, energetic	https://placekitten.com/g/200/300
Knight of Swords	Opinionated, hasty, action-oriented, communicative	https://placekitten.com/g/200/300
Queen of Swords	Quick thinker, organised, perceptive, independent	https://placekitten.com/g/200/300
King of Swords	Clear thinking, intellectual power, authority, truth	https://placekitten.com/g/200/300
Ace of Cups	Love, compassion, creativity, overwhelming emotion	https://placekitten.com/g/200/300
Two of Cups	Unified love, partnership, attraction, relationships	https://placekitten.com/g/200/300
Three of Cups	Celebration, friendship, creativity, community	https://placekitten.com/g/200/300
Four of Cups	Meditation, contemplation, apathy, re-evaluation	https://placekitten.com/g/200/300
Five of Cups	Loss, regret, disappointment, despair, bereavement	https://placekitten.com/g/200/300
Six of Cups	Reunion, nostalgia, childhood memories, innocence	https://placekitten.com/g/200/300
Seven of Cups	Fantasy, illusion, wishful thinking, choices, imagination	https://placekitten.com/g/200/300
Eight of Cups	Escapism, disappointment, abandonment, withdrawal	https://placekitten.com/g/200/300
Nine of Cups	Wishes fulfilled, comfort, happiness, satisfaction	https://placekitten.com/g/200/300
Ten of Cups	Harmony, marriage, happiness, alignment	https://placekitten.com/g/200/300
Page of Cups	A messenger, creative beginnings, synchronicity	https://placekitten.com/g/200/300
Knight of Cups	Romance, charm, ‘Knight in shining armour’, imagination	https://placekitten.com/g/200/300
Queen of Cups	Emotional security, calm, intuitive, compassionate	https://placekitten.com/g/200/300
King of Cups	Emotional balance and control, generosity	https://placekitten.com/g/200/300
Ace of Pentacles	Manifestation, new financial opportunity, prosperity	https://placekitten.com/g/200/300
Two of Pentacles	Balance, adaptability, time management, prioritisation	https://placekitten.com/g/200/300
Three of Pentacles	Teamwork, initial fulfilment, collaboration, learning	https://placekitten.com/g/200/300
Four of Pentacles	Control, stability, security, possession, conservatism	https://placekitten.com/g/200/300
Five of Pentacles	Isolation, insecurity, worry, financial loss, poverty	https://placekitten.com/g/200/300
Six of Pentacles	Generosity, charity, giving, prosperity, sharing wealth	https://placekitten.com/g/200/300
Seven of Pentacles	Vision, perseverance, profit, reward, investment	https://placekitten.com/g/200/300
Eight of Pentacles	Apprenticeship, education, quality, engagement	https://placekitten.com/g/200/300
Nine of Pentacles	Gratitude, luxury, self-sufficiency, culmination	https://placekitten.com/g/200/300
Ten of Pentacles	Wealth, inheritance, family, establishment, retirement	https://placekitten.com/g/200/300
Page of Pentacles	Manifestation, financial opportunity, new job	https://placekitten.com/g/200/300
Knight of Pentacles	Efficiency, routine, conservatism, methodical	https://placekitten.com/g/200/300
Queen of Pentacles	Practical, homely, motherly, down-to-earth, security	https://placekitten.com/g/200/300
King of Pentacles	Security, control, power, discipline, abundance	https://placekitten.com/g/200/300
Fool	Beginnings, innocence, spontaneity, a free spirit	https://placekitten.com/g/200/300
Magician	Power, skill, concentration, action, resourcefulness	https://placekitten.com/g/200/300
High Priestess	Intuition, Higher powers, mystery, subconscious mind	https://placekitten.com/g/200/300
Empress	Fertility, femininity, beauty, nature, abundance	https://placekitten.com/g/200/300
Emperor	Authority, father-figure, structure, solid foundation	https://placekitten.com/g/200/300
Hierophant	Religion, group identification, conformity, tradition, beliefs	https://placekitten.com/g/200/300
Lovers	Love, union, relationships, values alignment, choices	https://placekitten.com/g/200/300
Chariot	Control, will power, victory, assertion, determination	https://placekitten.com/g/200/300
Strength	Strength, courage, patience, control, compassion	https://placekitten.com/g/200/300
Hermit	Soul-searching, introspection, being alone, inner guidance	https://placekitten.com/g/200/300
Wheel of Fortune	Good luck, karma, life cycles, destiny, a turning point	https://placekitten.com/g/200/300
Justice	Justice, fairness, truth, cause and effect, law	https://placekitten.com/g/200/300
Hanged Man	Suspension, restriction, letting go, sacrifice	https://placekitten.com/g/200/300
Death	Endings, beginnings, change, transformation, transition	https://placekitten.com/g/200/300
Temperance	Balance, moderation, patience, purpose, meaning	https://placekitten.com/g/200/300
Devil	Bondage, addiction, sexuality, materialism	https://placekitten.com/g/200/300
Tower	Disaster, upheaval, sudden change, revelation	https://placekitten.com/g/200/300
Star	Hope, spirituality, renewal, inspiration, serenity	https://placekitten.com/g/200/300
Moon	Illusion, fear, anxiety, insecurity, subconscious	https://placekitten.com/g/200/300
Sun	Fun, warmth, success, positivity, vitality	https://placekitten.com/g/200/300
Judgement	Judgement, rebirth, inner calling, absolution	https://placekitten.com/g/200/300
World	Completion, integration, accomplishment, travel	https://placekitten.com/g/200/300