Ace of Wands	Ace of Wands: Inspiration, power, creation, beginnings, potential
Two of Wands	2 of Wands: Future planning, progress, decisions, discovery
Three of Wands	3 of Wands: Preparation, foresight, enterprise, expansion
Four of Wands	4 of Wands: Celebration, harmony, marriage, home, community
Five of Wands	5 of Wands: Disagreement, competition, strife, tension, conflict
Six of Wands	6 of Wands: Public recognition, victory, progress, self-confidence
Seven of Wands	7 of Wands: Challenge, competition, perseverance
Eight of Wands	8 of Wands: Speed, action, air travel, movement, swift change
Nine of Wands	9 of Wands: Courage, persistence, test of faith, resilience
Ten of Wands	10 of Wands: Burden, responsibility, hard work, stress, achievement
Page of Wands	Daughter of Wands: Enthusiasm, exploration, discovery, free spirit
Knight of Wands	Son of Wands: Energy, passion, lust, action, adventure, impulsiveness
Queen of Wands	Queen of Wands: Exuberance, warmth, vibrancy, determination
King of Wands	King of Wands: Natural-born leader, vision, entrepreneur, honour
Ace of Swords	Ace of Swords: Raw power, victory, break-throughs, mental clarity
Two of Swords	2 of Swords: Indecision, choices, truce, stalemate, blocked emotions
Three of Swords	3 of Swords: Painful separation, sorrow heartbreak, grief, rejection
Four of Swords	4 of Swords: Contemplation, recuperation, passivity, relaxation, rest
Five of Swords	5 of Swords: Conflict, tension, loss, defeat, win at all costs, betrayal
Six of Swords	6 of Swords: Regretful but necessary transition, rite of passage
Seven of Swords	7 of Swords: Betrayal, deception, getting away with something, stealth
Eight of Swords	8 of Swords: Isolation, self-imposed restriction, imprisonment
Nine of Swords	9 of Swords: Depression, nightmares, intense anxiety, despair
Ten of Swords	10 of Swords: Back-stabbed, defeat, crisis, betrayal, endings, loss
Page of Swords	Daughter of Swords: Talkative, curious, mentally restless, energetic
Knight of Swords	Son of Swords: Opinionated, hasty, action-oriented, communicative
Queen of Swords	Queen of Swords: Quick thinker, organised, perceptive, independent
King of Swords	King of Swords: Clear thinking, intellectual power, authority, truth
Ace of Cups	Ace of Cups: Love, compassion, creativity, overwhelming emotion
Two of Cups	2 of Cups: Unified love, partnership, attraction, relationships
Three of Cups	3 of Cups: Celebration, friendship, creativity, community
Four of Cups	4 of Cups: Meditation, contemplation, apathy, re-evaluation
Five of Cups	5 of Cups: Loss, regret, disappointment, despair, bereavement
Six of Cups	6 of Cups: Reunion, nostalgia, childhood memories, innocence
Seven of Cups	7 of Cups: Fantasy, illusion, wishful thinking, choices, imagination
Eight of Cups	8 of Cups: Escapism, disappointment, abandonment, withdrawal
Nine of Cups	9 of Cups: Wishes fulfilled, comfort, happiness, satisfaction
Ten of Cups	10 of Cups: Harmony, marriage, happiness, alignment
Page of Cups	Daugher of Cups: A messenger, creative beginnings, synchronicity
Knight of Cups	Son of Cups: Romance, charm, 'Knight in shining armour', imagination
Queen of Cups	Queen of Cups: Emotional security, calm, intuitive, compassionate
King of Cups	King of Cups: Emotional balance and control, generosity
Ace of Pentacles	Ace of Pentacles: Manifestation, new financial opportunity, prosperity
Two of Pentacles	2 of Pentacles: Balance, adaptability, time management, prioritisation
Three of Pentacles	3 of Pentacles:  Teamwork, initial fulfilment, collaboration, learning
Four of Pentacles	4 of Pentacles: Control, stability, security, possession, conservatism
Five of Pentacles	5 of Pentacles: Isolation, insecurity, worry, financial loss, poverty
Six of Pentacles	6 of Pentacles: Generosity, charity, giving, prosperity, sharing wealth
Seven of Pentacles	7 of Pentacles: Vision, perseverance, profit, reward, investment
Eight of Pentacles	8 of Pentacles: Apprenticeship, education, quality, engagement
Nine of Pentacles	9 of Pentacles: Gratitude, luxury, self-sufficiency, culmination
Ten of Pentacles	10 of Pentacles: Wealth, inheritance, family, establishment, retirement
Page of Pentacles	Daughter of Pentacles: Manifestation, financial opportunity, new job
Knight of Pentacles	Son of Pentacles: Efficiency, routine, conservatism, methodical
Queen of Pentacles	Queen of Pentacles: Practical, homely, motherly, down-to-earth, security
King of Pentacles	King of Pentacles: Security, control, power, discipline, abundance
Fool	Fool  Beginnings, innocence, spontaneity, a free spirit
Magician	Magician: Power, skill, concentration, action, resourcefulness
High Priestess	High Priestess: Intuition, Higher powers, mystery, subconscious mind
Empress	Empress: Fertility, femininity, beauty, nature, abundance
Emperor	Emperor: Authority, father-figure, structure, solid foundation
Hierophant	Hierophant: Religion, group identification, conformity, tradition, beliefs
Lovers	Lovers: Love, union, relationships, values alignment, choices
Chariot	Chariot: Control, will power, victory, assertion, determination
Strength	Strength: Strength, courage, patience, control, compassion
Hermit	Hermit: Soul-searching, introspection, being alone, inner guidance
Wheel of Fortune	Wheel of Fortune: Good luck, karma, life cycles, destiny, a turning point
Justice	Justice: Justice, fairness, truth, cause and effect, law
Hanged Man	Hanged Man: Suspension, restriction, letting go, sacrifice
Death	Death: Endings, beginnings, change, transformation, transition
Temperance	Temperance: Balance, moderation, patience, purpose, meaning
Devil	Devil: Bondage, addiction, sexuality, materialism
Tower	Tower: Disaster, upheaval, sudden change, revelation
Star	Star: Hope, spirituality, renewal, inspiration, serenity
Moon	Moon: Illusion, fear, anxiety, insecurity, subconscious
Sun	Sun: Fun, warmth, success, positivity, vitality
Judgement	Judgement: Judgement, rebirth, inner calling, absolution
World	World: Completion, integration, accomplishment, travel